ID,Name,Location,Longitude,Latitude
466940,基隆,仁愛區,121.7405,25.1333
467480,嘉義,西區,120.4329,23.4959
467540,大武,大武鄉,120.9038,22.3557
467080,宜蘭,宜蘭市,121.7565,24.764
466950,彭佳嶼,中正區,122.0797,25.628
467590,恆春,恆春鎮,120.7463,22.0039
467610,成功,成功鎮,121.3734,23.0975
467050,新屋,新屋區,121.0475,25.0067
467571,新竹,竹北市,121.0142,24.8279
467650,日月潭,魚池鄉,120.9081,23.8813
467300,東吉島,望安鄉,119.6675,23.257
466880,板橋,板橋區,121.442,24.9976
467770,梧棲,梧棲區,120.5234,24.256
467420,永康,永康區,120.2367,23.0384
466900,淡水,淡水區,121.4489,25.1649
467350,澎湖,馬公市,119.5631,23.5655
467550,玉山,信義鄉,120.9595,23.4876
466930,竹子湖,北投區,121.5445,25.1621
467490,臺中,北區,120.6841,24.1457
466920,臺北,中正區,121.5149,25.0377
467410,臺南,中西區,120.2048,22.9932
467660,臺東,臺東市,121.1546,22.7522
466990,花蓮,花蓮市,121.6133,23.9751
467060,蘇澳,蘇澳鎮,121.8574,24.5967
467620,蘭嶼,蘭嶼鄉,121.5583,22.037
467110,金門,金城鎮,118.2893,24.4073
467530,阿里山,阿里山鄉,120.8132,23.5082
466910,鞍部,北投區,121.5297,25.1826
467990,馬祖,南竿鄉,119.9234,26.1693
467440,高雄,前鎮區,120.3157,22.566
